iter,cost,mean_rel_T12
0,196.4935950756905,30.460912782526904
300,0.2937060245454945,0.08760484072866917
600,0.08377285736637675,0.04614210563634797
900,0.04138182639220977,0.03364799939792493
1200,0.031951642003418705,0.029471669996785122
1500,0.027514646784832033,0.028050667198606407
1800,0.024657640262742895,0.02684626436448959
2100,0.02224650123145822,0.025656324439008612
2400,0.020209612521350565,0.02466733488051681
2700,0.01849381345703614,0.023766703185343418
3000,0.01698296204608621,0.022859048117087433
3300,0.015562747543372134,0.02196702387540763
3600,0.01415271499362691,0.021055331940558277
3900,0.012711103681564638,0.01999181422640522
4200,0.011202967213637125,0.01871296071357747
4500,0.009533390361694986,0.017008679856816655
4800,0.007980623231124445,0.015354447869698794
5100,0.006945473303295159,0.014388638629214622
5400,0.006256448723493407,0.013687860059996407
5700,0.005761017282831378,0.013117932258811941
6000,0.005375889353018728,0.012640731478816353
6300,0.005060412267909807,0.012256809418298285
6600,0.004791897595041846,0.011899223169011213
6900,0.00455568372908485,0.011566429719791329
7200,0.004341793764803522,0.011262598423274836
7500,0.004143524940185701,0.01097895937724388
7800,0.003956588864196072,0.0107046824720552
8100,0.003778467193010051,0.010434510985435094
8400,0.0036079098165808167,0.01017720370537236
8700,0.0034445535432846256,0.009928713524430003
9000,0.0032886376504162947,0.009686850041125626
9300,0.003140786407085747,0.009452131043531872
9600,0.0030018358285469134,0.009219902233339568
9900,0.0028727102974395458,0.008990570083188931
10200,0.0027544087841361808,0.00878093033502842
10500,0.002648223674983347,0.008587994630230342
