iter,ref_cost,pkg_cost,mapped_param_max
0.000000000000000000e+00,2.836856384277343750e+02,2.836855773925781250e+02,9.963128566741943359e-01
1.000000000000000000e+02,3.102515697479248047e+00,3.102514505386352539e+00,9.963128566741943359e-01
2.000000000000000000e+02,1.432408571243286133e+00,1.432408571243286133e+00,9.963128566741943359e-01
3.000000000000000000e+02,8.907512426376342773e-01,8.907499313354492188e-01,9.963128566741943359e-01
4.000000000000000000e+02,7.177739143371582031e-01,7.177742719650268555e-01,9.963128566741943359e-01
5.000000000000000000e+02,6.440975069999694824e-01,6.440968513488769531e-01,9.963128566741943359e-01
6.000000000000000000e+02,6.053690314292907715e-01,6.053690910339355469e-01,9.963128566741943359e-01
7.000000000000000000e+02,5.796340107917785645e-01,5.796338319778442383e-01,9.963128566741943359e-01
8.000000000000000000e+02,5.592409968376159668e-01,5.592415332794189453e-01,9.963128566741943359e-01
9.000000000000000000e+02,5.401129126548767090e-01,5.401130914688110352e-01,9.963128566741943359e-01
1.000000000000000000e+03,5.190582871437072754e-01,5.190581679344177246e-01,9.963128566741943359e-01
