p1,p2,alphaD_true,alphaD_main_pred,rel_abs
2.000000029802322388e-01,1.000000000000000000e+00,1.905128231621799983e+01,1.920616340637207031e+01,8.129693717373718057e-03
3.289999961853027344e-01,1.000000000000000000e+00,1.929448825216500296e+01,1.935723876953125000e+01,3.252250930221272339e-03
4.569999873638153076e-01,1.000000000000000000e+00,1.955330396513200242e+01,1.958030128479003906e+01,1.380703726908711661e-03
5.860000252723693848e-01,1.000000000000000000e+00,1.982640296871900176e+01,1.980123901367187500e+01,1.269214344469294514e-03
7.139999866485595703e-01,1.000000000000000000e+00,2.011231444324100082e+01,2.003645706176757812e+01,3.771688319984253541e-03
8.429999947547912598e-01,1.000000000000000000e+00,2.039619449038099930e+01,2.030082702636718750e+01,4.675747922426794732e-03
9.710000157356262207e-01,1.000000000000000000e+00,2.068549501447999717e+01,2.058654022216796875e+01,4.783776856331421572e-03
1.100000023841857910e+00,1.000000000000000000e+00,2.096618933503400228e+01,2.088933372497558594e+01,3.665692836704114756e-03
1.228999972343444824e+00,1.000000000000000000e+00,2.124958845016400133e+01,2.119861602783203125e+01,2.398748684075181943e-03
1.356999993324279785e+00,1.000000000000000000e+00,2.152386533776699906e+01,2.150604248046875000e+01,8.280509573239181517e-04
1.485999941825866699e+00,1.000000000000000000e+00,2.179192326981700134e+01,2.181314468383789062e+01,9.738201515366978192e-04
1.613999962806701660e+00,1.000000000000000000e+00,2.204014677513000109e+01,2.211466026306152344e+01,3.380807246510854694e-03
1.743000030517578125e+00,1.000000000000000000e+00,2.228867631107900138e+01,2.241799354553222656e+01,5.801925275793325121e-03
1.871000051498413086e+00,1.000000000000000000e+00,2.252488587957199684e+01,2.272423362731933594e+01,8.850111330780556507e-03
2.000000000000000000e+00,1.000000000000000000e+00,2.275225162159200210e+01,2.304571342468261719e+01,1.289814335615549999e-02
2.000000029802322388e-01,1.250000000000000000e+00,1.797275283442800031e+01,1.810752296447753906e+01,7.498580283782549892e-03
3.289999961853027344e-01,1.250000000000000000e+00,1.818593757008200029e+01,1.824631881713867188e+01,3.320216338804869542e-03
4.569999873638153076e-01,1.250000000000000000e+00,1.842697065501300102e+01,1.844776344299316406e+01,1.128388836637476663e-03
5.860000252723693848e-01,1.250000000000000000e+00,1.869259862813899886e+01,1.869473838806152344e+01,1.144709713770602837e-04
7.139999866485595703e-01,1.250000000000000000e+00,1.897231550044799775e+01,1.895978736877441406e+01,6.603375151171113908e-04
8.429999947547912598e-01,1.250000000000000000e+00,1.926503502299900106e+01,1.924178886413574219e+01,1.206650225940784395e-03
9.710000157356262207e-01,1.250000000000000000e+00,1.956884610004999914e+01,1.953668212890625000e+01,1.643631462954116447e-03
1.100000023841857910e+00,1.250000000000000000e+00,1.986959762008499908e+01,1.984502983093261719e+01,1.236451267012461793e-03
1.228999972343444824e+00,1.250000000000000000e+00,2.017671195123000061e+01,2.015898323059082031e+01,8.786724359267827824e-04
1.356999993324279785e+00,1.250000000000000000e+00,2.047758952341600036e+01,2.047188758850097656e+01,2.784475637869227721e-04
1.485999941825866699e+00,1.250000000000000000e+00,2.076655730159399837e+01,2.078598213195800781e+01,9.353900158751122336e-04
1.613999962806701660e+00,1.250000000000000000e+00,2.105353203256500194e+01,2.109533691406250000e+01,1.985646941939977605e-03
1.743000030517578125e+00,1.250000000000000000e+00,2.133372537066399843e+01,2.140604972839355469e+01,3.390141968781948487e-03
1.871000051498413086e+00,1.250000000000000000e+00,2.160188061930699988e+01,2.171723556518554688e+01,5.340041819111194035e-03
2.000000000000000000e+00,1.250000000000000000e+00,2.186156960793200099e+01,2.203973960876464844e+01,8.149918053825481318e-03
2.000000029802322388e-01,1.500000000000000000e+00,1.711473267189400005e+01,1.720282936096191406e+01,5.147418353345790086e-03
3.289999961853027344e-01,1.500000000000000000e+00,1.728253134834200111e+01,1.732014083862304688e+01,2.176156346717914632e-03
4.569999873638153076e-01,1.500000000000000000e+00,1.748506160746699933e+01,1.749896812438964844e+01,7.953370273920180346e-04
5.860000252723693848e-01,1.500000000000000000e+00,1.772922685918599939e+01,1.773317146301269531e+01,2.224915873673373120e-04
7.139999866485595703e-01,1.500000000000000000e+00,1.800390228938000092e+01,1.800328063964843750e+01,3.452861060738574483e-05
8.429999947547912598e-01,1.500000000000000000e+00,1.829328825875899867e+01,1.829520797729492188e+01,1.049411406396020798e-04
9.710000157356262207e-01,1.500000000000000000e+00,1.859321611211299796e+01,1.859616470336914062e+01,1.585842512862383434e-04
1.100000023841857910e+00,1.500000000000000000e+00,1.890323650790099919e+01,1.890756416320800781e+01,2.289372671817227305e-04
1.228999972343444824e+00,1.500000000000000000e+00,1.922385816615100040e+01,1.922411155700683594e+01,1.318106145215424579e-05
1.356999993324279785e+00,1.500000000000000000e+00,1.954191865149000051e+01,1.954121017456054688e+01,3.625421546822475330e-05
1.485999941825866699e+00,1.500000000000000000e+00,1.985164367705500155e+01,1.986211585998535156e+01,5.275222092795274053e-04
