# Re(EQRPA)	Im(Strength)
0.000000e+00	8.115868e-01
1.500000e-01	6.095159e-01
3.000000e-01	4.736396e-01
4.500000e-01	3.781938e-01
6.000000e-01	3.087217e-01
7.500000e-01	2.566492e-01
9.000000e-01	2.166483e-01
1.050000e+00	1.852746e-01
1.200000e+00	1.602275e-01
1.350000e+00	1.399150e-01
1.500000e+00	1.232208e-01
1.650000e+00	1.093369e-01
1.800000e+00	9.766785e-02
1.950000e+00	8.776783e-02
2.100000e+00	7.929833e-02
2.250000e+00	7.199687e-02
2.400000e+00	6.565984e-02
2.550000e+00	6.012458e-02
2.700000e+00	5.526237e-02
2.850000e+00	5.096933e-02
3.000000e+00	4.716094e-02
3.150000e+00	4.376763e-02
3.300000e+00	4.073215e-02
3.450000e+00	3.800713e-02
3.600000e+00	3.555256e-02
3.750000e+00	3.333518e-02
3.900000e+00	3.132679e-02
4.050000e+00	2.950419e-02
4.200000e+00	2.784192e-02
4.350000e+00	2.633020e-02
4.500000e+00	2.495170e-02
4.650000e+00	2.369014e-02
4.800000e+00	2.254046e-02
4.950000e+00	2.149232e-02
5.100000e+00	2.053847e-02
5.250000e+00	1.967503e-02
5.400000e+00	1.890294e-02
5.550000e+00	1.821235e-02
5.700000e+00	1.761480e-02
5.850000e+00	1.711905e-02
6.000000e+00	1.674350e-02
6.150000e+00	1.652224e-02
6.300000e+00	1.652036e-02
6.450000e+00	1.686361e-02
6.600000e+00	1.781681e-02
6.750000e+00	1.996501e-02
6.900000e+00	2.463242e-02
7.050000e+00	3.379274e-02
7.200000e+00	4.175102e-02
7.350000e+00	3.414443e-02
7.500000e+00	2.423207e-02
7.650000e+00	1.888695e-02
7.800000e+00	1.623165e-02
7.950000e+00	1.488985e-02
8.100000e+00	1.426837e-02
8.250000e+00	1.413043e-02
8.400000e+00	1.440837e-02
8.550000e+00	1.514288e-02
8.700000e+00	1.647571e-02
8.850000e+00	1.872947e-02
9.000000e+00	2.249427e-02
9.150000e+00	2.905488e-02
9.300000e+00	4.125249e-02
9.450000e+00	6.551544e-02
9.600000e+00	1.118835e-01
9.750000e+00	1.549176e-01
