# Re(EQRPA)	Im(Strength)
0.000000e+00	1.142234e+00
1.500000e-01	7.837387e-01
3.000000e-01	5.679354e-01
4.500000e-01	4.292551e-01
6.000000e-01	3.353359e-01
7.500000e-01	2.689885e-01
9.000000e-01	2.204797e-01
1.050000e+00	1.839908e-01
1.200000e+00	1.558838e-01
1.350000e+00	1.337924e-01
1.500000e+00	1.161271e-01
1.650000e+00	1.017882e-01
1.800000e+00	8.999905e-02
1.950000e+00	8.019538e-02
2.100000e+00	7.195726e-02
2.250000e+00	6.497983e-02
2.400000e+00	5.901859e-02
2.550000e+00	5.389131e-02
2.700000e+00	4.945433e-02
2.850000e+00	4.559455e-02
3.000000e+00	4.222274e-02
3.150000e+00	3.925592e-02
3.300000e+00	3.664610e-02
3.450000e+00	3.434073e-02
3.600000e+00	3.229973e-02
3.750000e+00	3.049010e-02
3.900000e+00	2.888482e-02
4.050000e+00	2.745888e-02
4.200000e+00	2.619531e-02
4.350000e+00	2.507880e-02
4.500000e+00	2.409468e-02
4.650000e+00	2.323872e-02
4.800000e+00	2.249649e-02
4.950000e+00	2.186337e-02
5.100000e+00	2.133687e-02
5.250000e+00	2.091775e-02
5.400000e+00	2.060369e-02
5.550000e+00	2.040047e-02
5.700000e+00	2.031655e-02
5.850000e+00	2.037267e-02
6.000000e+00	2.058584e-02
6.150000e+00	2.100675e-02
6.300000e+00	2.173012e-02
6.450000e+00	2.287165e-02
6.600000e+00	2.472931e-02
6.750000e+00	2.790757e-02
6.900000e+00	3.378781e-02
7.050000e+00	4.497206e-02
7.200000e+00	5.933336e-02
7.350000e+00	5.651018e-02
7.500000e+00	4.404523e-02
7.650000e+00	3.740587e-02
7.800000e+00	3.531393e-02
7.950000e+00	3.566512e-02
8.100000e+00	3.756682e-02
8.250000e+00	4.075629e-02
8.400000e+00	4.528334e-02
8.550000e+00	5.144239e-02
8.700000e+00	5.977384e-02
8.850000e+00	7.120470e-02
9.000000e+00	8.734105e-02
9.150000e+00	1.111021e-01
9.300000e+00	1.480207e-01
9.450000e+00	2.096219e-01
9.600000e+00	3.172340e-01
9.750000e+00	4.772267e-01
9.900000e+00	6.599265e-01
1.005000e+01	1.021472e+00
1.020000e+01	1.599880e+00
1.035000e+01	1.564709e+00
1.050000e+01	9.519604e-01
1.065000e+01	5.519578e-01
1.080000e+01	3.582621e-01
1.095000e+01	2.696774e-01
1.110000e+01	2.436823e-01
1.125000e+01	2.657801e-01
1.140000e+01	2.775358e-01
1.155000e+01	2.383751e-01
1.170000e+01	2.333355e-01
1.185000e+01	2.918949e-01
1.200000e+01	3.941957e-01
1.215000e+01	5.025117e-01
1.230000e+01	4.640876e-01
1.245000e+01	2.885370e-01
1.260000e+01	1.728354e-01
1.275000e+01	1.130946e-01
1.290000e+01	8.054418e-02
1.305000e+01	6.114965e-02
1.320000e+01	4.868085e-02
1.335000e+01	4.018723e-02
1.350000e+01	3.402143e-02
1.365000e+01	2.924484e-02
1.380000e+01	2.553965e-02
1.395000e+01	2.262689e-02
1.410000e+01	2.028255e-02
1.425000e+01	1.835684e-02
1.440000e+01	1.675165e-02
1.455000e+01	1.539621e-02
1.470000e+01	1.424063e-02
1.485000e+01	1.324952e-02
1.500000e+01	1.239563e-02
1.515000e+01	1.166464e-02
1.530000e+01	1.105986e-02
1.545000e+01	1.059256e-02
1.560000e+01	1.019257e-02
1.575000e+01	9.639643e-03
1.590000e+01	9.082217e-03
1.605000e+01	8.634029e-03
1.620000e+01	8.262439e-03
1.635000e+01	7.946708e-03
1.650000e+01	7.672537e-03
1.665000e+01	7.433095e-03
1.680000e+01	7.224285e-03
1.695000e+01	7.043542e-03
1.710000e+01	6.889369e-03
1.725000e+01	6.757483e-03
1.740000e+01	6.661133e-03
1.755000e+01	6.588532e-03
1.770000e+01	6.549648e-03
1.785000e+01	6.555747e-03
1.800000e+01	6.593112e-03
1.815000e+01	6.589949e-03
1.830000e+01	6.591157e-03
1.845000e+01	6.648227e-03
1.860000e+01	6.759551e-03
1.875000e+01	6.913890e-03
1.890000e+01	7.101863e-03
1.905000e+01	7.346546e-03
1.920000e+01	7.663898e-03
1.935000e+01	8.067468e-03
1.950000e+01	8.567030e-03
1.965000e+01	9.194091e-03
1.980000e+01	9.977376e-03
1.995000e+01	1.096831e-02
2.010000e+01	1.223022e-02
2.025000e+01	1.386174e-02
2.040000e+01	1.601017e-02
2.055000e+01	1.890184e-02
2.070000e+01	2.291020e-02
2.085000e+01	2.865207e-02
2.100000e+01	3.726508e-02
2.115000e+01	5.092342e-02
2.130000e+01	7.413582e-02
