iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,25.48936653137207,0.3098024965861053,0.6901975034138947,0.0,0.09328249437172449
1000,0.42305514216423035,0.9840037336104189,0.01599626969171297,0.0,0.0019649380513822867
2000,0.39832425117492676,0.9925123137524369,0.00748766520464861,0.0,0.0013025093031801245
3000,0.3907790780067444,0.9943175032431208,0.005682482457404725,0.0,0.0011487601543753569
4000,0.38557589054107666,0.992054587417625,0.00794537937053343,0.0,0.0013547908197139025
5000,0.38157474994659424,0.9912054681195583,0.00879454347392952,0.0,0.0014083270673926882
6000,0.3793788552284241,0.9910490640810782,0.008950950648091312,0.0,0.0014229721609251165
7000,0.37151360511779785,0.9910915577243828,0.00890841971411996,0.0,0.0013996279776909524
8000,0.36871591210365295,0.9916249954635662,0.008374990012773142,0.0,0.0013544210468080448
9000,0.36699461936950684,0.9918580810466144,0.008141901823904509,0.0,0.0013438559076907558
10000,0.36564743518829346,0.9924133750077023,0.007586665108347056,0.0,0.0013147004281726408
11000,0.3648034334182739,0.9922696869119039,0.007730288196896405,0.0,0.0013331052169171058
12000,0.3637996017932892,0.9931527491935219,0.0068472802463388285,0.0,0.0012763793316073737
13000,0.3511626720428467,0.9933305123353314,0.006669465121720462,0.0,0.0012628384044609227
14000,0.29693466424942017,0.9886694139012155,0.01133057041650332,0.0,0.0014379078410512443
15000,0.16720376908779144,0.9878336365633457,0.012166360651661571,0.0,0.0011165704128720292
16000,0.16424906253814697,0.9892517787143613,0.010748245383925053,0.0,0.001030649716934264
17000,0.1628657430410385,0.9902147673296745,0.009785210511737018,0.0,0.0009773406758213968
18000,0.16155076026916504,0.9904568450382457,0.009543166491536956,0.0,0.0009489976648344518
19000,0.16040319204330444,0.9905354426913117,0.009464521746111933,0.0,0.0009286957648540367
