iter,cost,mean_rel_alphaD
0,29006.33203125,0.9626193975426558
1000,26.04517364501953,0.00883736374699405
2000,1.2603927850723267,0.003470172011811719
3000,0.41588711738586426,0.0027350097647710608
4000,0.3061870038509369,0.002305529108866477
5000,0.18054401874542236,0.0017449154255313407
6000,0.12274227291345596,0.001511906606900122
7000,0.09056440740823746,0.0013094089065686344
8000,0.06727977842092514,0.0011238913837925428
9000,0.04408394172787666,0.0009073643490611248
10000,0.03144519776105881,0.0007705406450443157
11000,0.023036960512399673,0.000658035904005757
12000,0.020933901891112328,0.000625540951800337
13000,0.012933876365423203,0.00048209982143144516
14000,0.01015609409660101,0.00042723384770818263
15000,0.012428834103047848,0.0004779136228271492
16000,0.010220954194664955,0.0004242944266715531
17000,0.0031195972114801407,0.0002551653381845732
18000,0.0032535563223063946,0.00025492880475016166
19000,0.016701238229870796,0.0005499519242318065
20000,0.002508391859009862,0.000228168911994618
21000,0.002647032495588064,0.00024361172583892414
22000,0.013177379965782166,0.0004706761528379352
23000,0.0015023902524262667,0.00017201571464134127
24000,0.001162049942649901,0.00015568413253597724
25000,0.0011211942182853818,0.00015528641671713208
26000,0.0018546818755567074,0.00020790382133757898
27000,0.0018408589530736208,0.0001923349405719135
28000,0.0008674485725350678,0.0001312236228278634
29000,0.000808670069091022,0.00012564081955218872
