iter,cost,strength_frac,alphaD_frac,m1_frac,mean_rel_alphaD
0,80.7670669555664,0.7570181501546196,0.24298182622995512,0.0,0.09999185555663566
1000,0.6151902675628662,0.849789655833926,0.15021034416607404,0.0,0.007035085713155312
2000,0.4837552607059479,0.9412587982121635,0.058741197937449134,0.0,0.00405311678603804
3000,0.4500141441822052,0.9663897985485931,0.03361021386865099,0.0,0.002911852398117055
4000,0.42869067192077637,0.9798113549110458,0.020188612501731033,0.0,0.002193039858602871
5000,0.41916197538375854,0.9845814448640438,0.01541858846397609,0.0,0.0018577392299509716
6000,0.41468700766563416,0.9876216232648515,0.012378391333138382,0.0,0.001761852997386732
7000,0.41091081500053406,0.9857121606593734,0.014287841607110129,0.0,0.0017991529223346727
8000,0.407927542924881,0.9829390119374388,0.017060997194796496,0.0,0.00197690038891554
9000,0.40153640508651733,0.9766609966982169,0.023339010259975895,0.0,0.0023352634200792745
10000,0.39976975321769714,0.9774498329996906,0.022550178648546557,0.0,0.00228502611259335
11000,0.39147090911865234,0.9754869673095615,0.024513035069472357,0.0,0.0023249130220365072
12000,0.3832259476184845,0.9805642445027887,0.01943577615406384,0.0,0.0020141555586771663
13000,0.37968501448631287,0.9809419302729999,0.01905806850055906,0.0,0.0019216764723644858
14000,0.35316699743270874,0.9691588867066689,0.03084107110037047,0.0,0.0025114639586479373
15000,0.24281570315361023,0.9533142690992855,0.046685734736226614,0.0,0.002618217053920333
16000,0.2393985390663147,0.9570907427745111,0.04290925722548893,0.0,0.0024987433037567484
17000,0.23805144429206848,0.9558152735443491,0.044184702982004415,0.0,0.0024882740373904145
18000,0.23737996816635132,0.9545984068096646,0.04540162065372278,0.0,0.0025143611288686845
19000,0.23689459264278412,0.9516237761536602,0.04837619632668243,0.0,0.0025592618717793997
20000,0.23524563014507294,0.9488222226459164,0.05117778923089387,0.0,0.002747058606909349
21000,0.2251095324754715,0.9380363669581571,0.06196365372783,0.0,0.0029153436133905228
22000,0.22141090035438538,0.9387734431038547,0.06122652324567655,0.0,0.0029232404481083847
23000,0.2208901345729828,0.9381126934286115,0.06188731500383913,0.0,0.0029061122345455364
24000,0.2207021713256836,0.9382705046602974,0.061729512218967,0.0,0.002901960412164155
25000,0.2206147015094757,0.938491214101638,0.061508764790916055,0.0,0.0028984790834973248
26000,0.2205740213394165,0.9382949010138306,0.061705086319366116,0.0,0.00289293788899373
27000,0.22053661942481995,0.9387470048909585,0.06125299933202531,0.0,0.0028915268455581545
28000,0.22335557639598846,0.9351473089948662,0.06485266181733321,0.0,0.003131444088857676
29000,0.22049088776111603,0.9389302200130798,0.06106978421077992,0.0,0.0028865242273820365
