grid_index,filename,q_bohr_inv,theta_deg,theta_rad,n_omega,omega_min_eV,omega_max_eV
0,strength_0.05_0.out,0.05,0.0,0.0,2000,0.0,80.0
1,strength_0.05_0.3926990817.out,0.05,22.5,0.39269908169872414,2000,0.0,80.0
2,strength_0.05_0.7853981634.out,0.05,45.0,0.7853981633974483,2000,0.0,80.0
3,strength_0.05_1.1780972451.out,0.05,67.5,1.1780972450961724,2000,0.0,80.0
4,strength_0.05_1.5707963268.out,0.05,90.0,1.5707963267948966,2000,0.0,80.0
5,strength_0.2111111111_0.out,0.21111111111111108,0.0,0.0,2000,0.0,80.0
6,strength_0.2111111111_0.3926990817.out,0.21111111111111108,22.5,0.39269908169872414,2000,0.0,80.0
7,strength_0.2111111111_0.7853981634.out,0.21111111111111108,45.0,0.7853981633974483,2000,0.0,80.0
8,strength_0.2111111111_1.1780972451.out,0.21111111111111108,67.5,1.1780972450961724,2000,0.0,80.0
9,strength_0.2111111111_1.5707963268.out,0.21111111111111108,90.0,1.5707963267948966,2000,0.0,80.0
10,strength_0.3722222222_0.out,0.3722222222222222,0.0,0.0,2000,0.0,80.0
11,strength_0.3722222222_0.3926990817.out,0.3722222222222222,22.5,0.39269908169872414,2000,0.0,80.0
12,strength_0.3722222222_0.7853981634.out,0.3722222222222222,45.0,0.7853981633974483,2000,0.0,80.0
13,strength_0.3722222222_1.1780972451.out,0.3722222222222222,67.5,1.1780972450961724,2000,0.0,80.0
14,strength_0.3722222222_1.5707963268.out,0.3722222222222222,90.0,1.5707963267948966,2000,0.0,80.0
15,strength_0.5333333333_0.out,0.5333333333333333,0.0,0.0,2000,0.0,80.0
16,strength_0.5333333333_0.3926990817.out,0.5333333333333333,22.5,0.39269908169872414,2000,0.0,80.0
17,strength_0.5333333333_0.7853981634.out,0.5333333333333333,45.0,0.7853981633974483,2000,0.0,80.0
18,strength_0.5333333333_1.1780972451.out,0.5333333333333333,67.5,1.1780972450961724,2000,0.0,80.0
19,strength_0.5333333333_1.5707963268.out,0.5333333333333333,90.0,1.5707963267948966,2000,0.0,80.0
20,strength_0.6944444444_0.out,0.6944444444444444,0.0,0.0,2000,0.0,80.0
21,strength_0.6944444444_0.3926990817.out,0.6944444444444444,22.5,0.39269908169872414,2000,0.0,80.0
22,strength_0.6944444444_0.7853981634.out,0.6944444444444444,45.0,0.7853981633974483,2000,0.0,80.0
23,strength_0.6944444444_1.1780972451.out,0.6944444444444444,67.5,1.1780972450961724,2000,0.0,80.0
24,strength_0.6944444444_1.5707963268.out,0.6944444444444444,90.0,1.5707963267948966,2000,0.0,80.0
25,strength_0.8555555556_0.out,0.8555555555555555,0.0,0.0,2000,0.0,80.0
26,strength_0.8555555556_0.3926990817.out,0.8555555555555555,22.5,0.39269908169872414,2000,0.0,80.0
27,strength_0.8555555556_0.7853981634.out,0.8555555555555555,45.0,0.7853981633974483,2000,0.0,80.0
28,strength_0.8555555556_1.1780972451.out,0.8555555555555555,67.5,1.1780972450961724,2000,0.0,80.0
29,strength_0.8555555556_1.5707963268.out,0.8555555555555555,90.0,1.5707963267948966,2000,0.0,80.0
30,strength_1.0166666667_0.out,1.0166666666666666,0.0,0.0,2000,0.0,80.0
31,strength_1.0166666667_0.3926990817.out,1.0166666666666666,22.5,0.39269908169872414,2000,0.0,80.0
32,strength_1.0166666667_0.7853981634.out,1.0166666666666666,45.0,0.7853981633974483,2000,0.0,80.0
33,strength_1.0166666667_1.1780972451.out,1.0166666666666666,67.5,1.1780972450961724,2000,0.0,80.0
34,strength_1.0166666667_1.5707963268.out,1.0166666666666666,90.0,1.5707963267948966,2000,0.0,80.0
35,strength_1.1777777778_0.out,1.1777777777777778,0.0,0.0,2000,0.0,80.0
36,strength_1.1777777778_0.3926990817.out,1.1777777777777778,22.5,0.39269908169872414,2000,0.0,80.0
37,strength_1.1777777778_0.7853981634.out,1.1777777777777778,45.0,0.7853981633974483,2000,0.0,80.0
38,strength_1.1777777778_1.1780972451.out,1.1777777777777778,67.5,1.1780972450961724,2000,0.0,80.0
39,strength_1.1777777778_1.5707963268.out,1.1777777777777778,90.0,1.5707963267948966,2000,0.0,80.0
40,strength_1.3388888889_0.out,1.3388888888888888,0.0,0.0,2000,0.0,80.0
41,strength_1.3388888889_0.3926990817.out,1.3388888888888888,22.5,0.39269908169872414,2000,0.0,80.0
42,strength_1.3388888889_0.7853981634.out,1.3388888888888888,45.0,0.7853981633974483,2000,0.0,80.0
43,strength_1.3388888889_1.1780972451.out,1.3388888888888888,67.5,1.1780972450961724,2000,0.0,80.0
44,strength_1.3388888889_1.5707963268.out,1.3388888888888888,90.0,1.5707963267948966,2000,0.0,80.0
45,strength_1.5_0.out,1.5,0.0,0.0,2000,0.0,80.0
46,strength_1.5_0.3926990817.out,1.5,22.5,0.39269908169872414,2000,0.0,80.0
47,strength_1.5_0.7853981634.out,1.5,45.0,0.7853981633974483,2000,0.0,80.0
48,strength_1.5_1.1780972451.out,1.5,67.5,1.1780972450961724,2000,0.0,80.0
49,strength_1.5_1.5707963268.out,1.5,90.0,1.5707963267948966,2000,0.0,80.0
