model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,test/extrapolation region,0,0.0,0.0,0.0009520839994365815,0.9520839994365815,0.15316369298728055,0.15316369298728055,0.24486099599721242,0.009334938497365419
EM1,8,0.9,test/extrapolation region,1,0.143,0.0,0.0009243750009773066,0.9243750009773066,0.15586311964226832,0.15586311964226832,0.2481935130995979,0.0026449075001968095
EM1,8,0.9,test/extrapolation region,2,0.286,0.0,0.0010795420002978062,1.0795420002978062,0.15881762674658867,0.15881762674658867,0.2506740803386309,0.003762706758455073
EM1,8,0.9,test/extrapolation region,3,0.429,0.0,0.0010977080000884598,1.0977080000884598,0.16199788991821065,0.16199788991821065,0.25279599671453706,0.010012569375184795
EM1,8,0.9,test/extrapolation region,4,0.571,0.0,0.0008969999998953426,0.8969999998953426,0.16526751661696987,0.16526751661696987,0.25465538750991185,0.016070028284380942
EM1,8,0.9,test/extrapolation region,5,0.714,0.0,0.0010169160013902,1.0169160013902,0.16822070407855214,0.16822070407855214,0.25584871562457545,0.021812284241608002
EM1,8,0.9,test/extrapolation region,6,0.857,0.0,0.0009385830016981345,0.9385830016981345,0.17026694242934126,0.17026694242934126,0.2594928458012463,0.026650295856404996
EM1,8,0.9,test/extrapolation region,7,1.0,0.0,0.0008860830002959119,0.8860830002959119,0.17155620891768347,0.17155620891768347,0.2730568463352314,0.029611761261464215
EM1,8,0.9,test/extrapolation region,8,1.143,0.0,0.0009445839987165527,0.9445839987165527,0.17192518797891151,0.17192518797891151,0.28427434519441513,0.02938182106820669
EM1,8,0.9,test/extrapolation region,9,1.286,0.0,0.0008927499984565657,0.8927499984565657,0.17086908807040724,0.17086908807040724,0.2918581529331974,0.02479549799809848
EM1,8,0.9,test/extrapolation region,10,1.429,0.0,0.0009116660003201105,0.9116660003201105,0.1682874745241317,0.1682874745241317,0.29176455785110383,0.015874402330237666
EM1,8,0.9,test/extrapolation region,11,1.571,0.0,0.0008561669983464526,0.8561669983464526,0.16500081608407208,0.16500081608407208,0.2900361193293996,0.005210686547257598
EM1,8,0.9,test/extrapolation region,12,1.714,0.0,0.0008937499987951014,0.8937499987951014,0.16332321950876155,0.16332321950876155,0.28212553803988666,0.0015047597539871098
EM1,8,0.9,test/extrapolation region,13,1.857,0.0,0.0008477920000586892,0.8477920000586892,0.16331659492438905,0.16331659492438905,0.25320150349199244,0.004997613789764913
EM1,8,0.9,test/extrapolation region,14,2.0,0.0,0.0008868340009939857,0.8868340009939857,0.1751420687166559,0.1751420687166559,0.20508501205239565,0.0372364758295014
EM1,8,0.9,test/extrapolation region,15,0.0,0.071,0.0008632919998490252,0.8632919998490252,0.09520899037179359,0.09520899037179359,0.1339674999749597,0.010841402515423001
EM1,8,0.9,test/extrapolation region,16,0.143,0.071,0.0009160000008705538,0.9160000008705538,0.09386323540189431,0.09386323540189431,0.12967203883457393,0.006008742860929511
EM1,8,0.9,test/extrapolation region,17,0.286,0.071,0.0009833339991018875,0.9833339991018875,0.09319879959766028,0.09319879959766028,0.1248207147461237,0.0013549078659806642
