# Re(EQRPA)	Im(Strength)
0.000000e+00	1.147486e-02
1.500000e-01	1.281889e-02
3.000000e-01	1.439659e-02
4.500000e-01	1.624311e-02
6.000000e-01	1.842624e-02
7.500000e-01	2.103930e-02
9.000000e-01	2.416730e-02
1.050000e+00	2.799972e-02
1.200000e+00	3.267194e-02
1.350000e+00	3.850431e-02
1.500000e+00	4.587623e-02
1.650000e+00	5.539091e-02
1.800000e+00	6.797811e-02
1.950000e+00	8.502506e-02
2.100000e+00	1.089214e-01
2.250000e+00	1.438239e-01
2.400000e+00	1.973601e-01
2.550000e+00	2.848051e-01
2.700000e+00	4.390411e-01
2.850000e+00	7.350453e-01
3.000000e+00	1.323645e+00
3.150000e+00	2.171669e+00
3.300000e+00	2.108171e+00
3.450000e+00	1.254899e+00
3.600000e+00	7.002782e-01
3.750000e+00	4.224793e-01
3.900000e+00	2.769646e-01
4.050000e+00	1.941103e-01
4.200000e+00	1.433882e-01
4.350000e+00	1.105546e-01
4.500000e+00	8.849207e-02
4.650000e+00	7.350248e-02
4.800000e+00	6.379971e-02
4.950000e+00	5.909282e-02
5.100000e+00	6.070663e-02
5.250000e+00	6.768589e-02
5.400000e+00	6.273352e-02
5.550000e+00	4.690606e-02
5.700000e+00	3.603639e-02
5.850000e+00	2.975742e-02
6.000000e+00	2.584848e-02
6.150000e+00	2.322400e-02
6.300000e+00	2.137704e-02
6.450000e+00	2.005336e-02
6.600000e+00	1.912809e-02
6.750000e+00	1.852736e-02
6.900000e+00	1.821315e-02
7.050000e+00	1.817563e-02
7.200000e+00	1.842369e-02
7.350000e+00	1.898737e-02
7.500000e+00	1.992465e-02
7.650000e+00	2.133411e-02
7.800000e+00	2.337951e-02
7.950000e+00	2.632298e-02
8.100000e+00	3.058700e-02
8.250000e+00	3.703006e-02
8.400000e+00	4.711363e-02
8.550000e+00	6.394411e-02
8.700000e+00	9.435248e-02
8.850000e+00	1.538351e-01
9.000000e+00	2.681421e-01
9.150000e+00	3.861670e-01
9.300000e+00	3.113885e-01
9.450000e+00	1.831053e-01
9.600000e+00	1.123521e-01
9.750000e+00	7.793257e-02
9.900000e+00	6.088841e-02
1.005000e+01	5.294322e-02
1.020000e+01	5.096109e-02
1.035000e+01	5.461588e-02
1.050000e+01	6.632630e-02
1.065000e+01	9.158951e-02
1.080000e+01	1.234907e-01
1.095000e+01	1.186412e-01
1.110000e+01	1.022728e-01
1.125000e+01	1.091027e-01
1.140000e+01	1.460841e-01
1.155000e+01	2.257024e-01
1.170000e+01	2.903015e-01
1.185000e+01	2.218350e-01
1.200000e+01	1.413726e-01
1.215000e+01	1.005428e-01
1.230000e+01	8.259998e-02
1.245000e+01	7.617296e-02
1.260000e+01	7.653689e-02
1.275000e+01	8.204554e-02
1.290000e+01	9.264604e-02
1.305000e+01	1.095285e-01
1.320000e+01	1.351133e-01
1.335000e+01	1.724723e-01
1.350000e+01	2.302619e-01
1.365000e+01	3.284463e-01
1.380000e+01	5.074832e-01
1.395000e+01	8.588471e-01
1.410000e+01	1.531492e+00
1.425000e+01	2.204479e+00
1.440000e+01	1.759309e+00
1.455000e+01	1.050154e+00
1.470000e+01	7.013594e-01
1.485000e+01	6.171760e-01
1.500000e+01	6.903838e-01
1.515000e+01	6.312420e-01
1.530000e+01	4.060096e-01
1.545000e+01	2.532145e-01
1.560000e+01	1.710938e-01
1.575000e+01	1.243511e-01
1.590000e+01	9.531665e-02
1.605000e+01	7.593420e-02
1.620000e+01	6.225608e-02
1.635000e+01	5.219617e-02
1.650000e+01	4.454850e-02
1.665000e+01	3.858406e-02
1.680000e+01	3.383908e-02
1.695000e+01	3.000457e-02
1.710000e+01	2.688675e-02
1.725000e+01	2.434286e-02
1.740000e+01	2.230815e-02
1.755000e+01	2.080863e-02
1.770000e+01	1.994635e-02
1.785000e+01	1.952697e-02
1.800000e+01	1.828501e-02
1.815000e+01	1.697820e-02
1.830000e+01	1.681008e-02
1.845000e+01	1.788846e-02
1.860000e+01	1.770204e-02
1.875000e+01	1.484768e-02
1.890000e+01	1.252576e-02
1.905000e+01	1.112136e-02
1.920000e+01	1.020696e-02
1.935000e+01	9.559894e-03
1.950000e+01	9.087254e-03
1.965000e+01	8.752606e-03
1.980000e+01	8.554855e-03
1.995000e+01	8.530083e-03
2.010000e+01	8.768882e-03
2.025000e+01	9.469239e-03
2.040000e+01	1.110550e-02
2.055000e+01	1.464731e-02
2.070000e+01	1.997934e-02
2.085000e+01	1.969468e-02
2.100000e+01	1.427145e-02
2.115000e+01	1.098779e-02
2.130000e+01	1.001387e-02
2.145000e+01	1.017906e-02
2.160000e+01	9.124671e-03
2.175000e+01	7.471385e-03
2.190000e+01	6.488307e-03
2.205000e+01	5.814510e-03
2.220000e+01	5.313931e-03
2.235000e+01	4.983456e-03
2.250000e+01	4.770262e-03
2.265000e+01	4.631872e-03
2.280000e+01	4.552100e-03
2.295000e+01	4.530108e-03
2.310000e+01	4.591516e-03
2.325000e+01	4.762389e-03
2.340000e+01	5.054481e-03
2.355000e+01	5.448136e-03
2.370000e+01	5.930422e-03
2.385000e+01	6.359194e-03
2.400000e+01	6.365294e-03
2.415000e+01	6.483521e-03
2.430000e+01	7.289874e-03
2.445000e+01	9.180021e-03
2.460000e+01	1.302394e-02
2.475000e+01	1.838863e-02
2.490000e+01	1.815852e-02
2.505000e+01	1.408658e-02
2.520000e+01	1.196332e-02
2.535000e+01	1.183063e-02
2.550000e+01	1.336416e-02
2.565000e+01	1.631310e-02
2.580000e+01	2.184219e-02
2.595000e+01	3.072399e-02
2.610000e+01	4.794384e-02
2.625000e+01	7.531145e-02
2.640000e+01	8.344928e-02
2.655000e+01	5.925049e-02
2.670000e+01	3.781735e-02
2.685000e+01	2.405717e-02
2.700000e+01	1.616265e-02
2.715000e+01	1.203263e-02
2.730000e+01	1.004492e-02
2.745000e+01	9.323857e-03
2.760000e+01	8.235696e-03
2.775000e+01	6.620193e-03
2.790000e+01	5.591060e-03
2.805000e+01	5.095314e-03
2.820000e+01	4.751777e-03
2.835000e+01	4.406083e-03
2.850000e+01	4.282526e-03
2.865000e+01	4.334551e-03
2.880000e+01	4.421018e-03
2.895000e+01	4.614002e-03
2.910000e+01	4.631399e-03
2.925000e+01	4.601585e-03
2.940000e+01	4.649069e-03
2.955000e+01	4.873044e-03
2.970000e+01	5.163311e-03
2.985000e+01	5.856884e-03
3.000000e+01	7.376197e-03
