name,status,strength_cost,cost,global_best_cost,seed,best_iter,n,retain,fold,ansatz,width_model,learning_rate,run_dir
le_n12_r050_f125_lr002,done,0.005433357786387205,0.005433357786387205,0.005286054220050573,420,3974,12,0.5,1.25,linear_exp,affine,0.002,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n12_r050_f125_lr002
le_n10_r060_f150_lr003,done,0.007645000237971544,0.007645000237971544,0.007570500485599041,420,3637,10,0.6,1.5,linear_exp,affine,0.003,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n10_r060_f150_lr003
le_n6_r067_f100_lr007,done,0.008573999628424644,0.008573999628424644,0.008305867202579975,420,3779,6,0.67,1.0,linear_exp,affine,0.007,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n6_r067_f100_lr007
le_n10_r050_f100_lr003,done,0.009221574291586876,0.009221574291586876,0.009072068147361279,420,3415,10,0.5,1.0,linear_exp,affine,0.003,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n10_r050_f100_lr003
lin_n8_r050_f100_lr007,done,0.0092407101765275,0.0092407101765275,0.009194076992571354,420,3149,8,0.5,1.0,linear,affine,0.007,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/lin_n8_r050_f100_lr007
le_n8_r062_f150_lr005,done,0.00964965671300888,0.00964965671300888,0.008246215060353279,420,3965,8,0.62,1.5,linear_exp,affine,0.005,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n8_r062_f150_lr005
le_n8_r050_f075_lr007,done,0.010797782801091671,0.010797782801091671,0.009285417385399342,420,3287,8,0.5,0.75,linear_exp,affine,0.007,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n8_r050_f075_lr007
le_n8_r050_f125_lr005,done,0.01186020951718092,0.01186020951718092,0.010958719067275524,420,3992,8,0.5,1.25,linear_exp,affine,0.005,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n8_r050_f125_lr005
le_n6_r050_f075_lr010,done,0.014147268608212471,0.014147268608212471,0.01129190530627966,420,2606,6,0.5,0.75,linear_exp,affine,0.01,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/le_n6_r050_f075_lr010
quad_n6_r050_f100_lr005,done,0.04357924312353134,0.04357924312353134,0.03514522686600685,420,2,6,0.5,1.0,quadratic,affine,0.005,/Users/laurenjin/Documents/projects/SMLR-package/SMLR-jingy/extra_docs/yukiya_4d/runs_smlr/yukiya_strength_sweep/quad_n6_r050_f100_lr005
