index,q,theta,sample_id,rmse,relative_l2_error,selected_labels
0,0.05000000074505806,0.39269909262657166,0.05_0.3926990817,0.00014989457849878818,0.5559529662132263,
1,0.05000000074505806,0.7853981852531433,0.05_0.7853981634,0.00012050726945744827,0.5463299751281738,q_min_theta_mid;best_rmse
2,0.05000000074505806,0.0,0.05_0,0.00017472916806582361,0.566285252571106,q_min_theta_min
3,0.05000000074505806,1.1780972480773926,0.05_1.1780972451,0.0001545045233797282,0.5946653485298157,
4,0.05000000074505806,1.5707963705062866,0.05_1.5707963268,0.0001668327022343874,0.5627613663673401,q_min_theta_max
5,0.21111111342906952,0.39269909262657166,0.2111111111_0.3926990817,0.002517952350899577,0.5621880888938904,
6,0.21111111342906952,0.7853981852531433,0.2111111111_0.7853981634,0.0019923688378185034,0.5406018495559692,
7,0.21111111342906952,0.0,0.2111111111_0,0.002887595444917679,0.5645343065261841,
8,0.21111111342906952,1.1780972480773926,0.2111111111_1.1780972451,0.00251411902718246,0.5780885219573975,
9,0.21111111342906952,1.5707963705062866,0.2111111111_1.5707963268,0.002712719375267625,0.5466912984848022,
10,0.3722222149372101,0.39269909262657166,0.3722222222_0.3926990817,0.006754433270543814,0.5615988969802856,
11,0.3722222149372101,0.7853981852531433,0.3722222222_0.7853981634,0.005551255773752928,0.5529196858406067,
12,0.3722222149372101,0.0,0.3722222222_0,0.00806201808154583,0.5896359086036682,
13,0.3722222149372101,1.1780972480773926,0.3722222222_1.1780972451,0.007314496673643589,0.6147034168243408,
14,0.3722222149372101,1.5707963705062866,0.3722222222_1.5707963268,0.00785757414996624,0.5790807604789734,
15,0.5333333611488342,0.39269909262657166,0.5333333333_0.3926990817,0.011460131965577602,0.5660267472267151,
16,0.5333333611488342,0.7853981852531433,0.5333333333_0.7853981634,0.009071968495845795,0.522759735584259,
17,0.5333333611488342,0.0,0.5333333333_0,0.013083191588521004,0.5722144842147827,
18,0.5333333611488342,1.1780972480773926,0.5333333333_1.1780972451,0.012044121511280537,0.5808151960372925,
19,0.5333333611488342,1.5707963705062866,0.5333333333_1.5707963268,0.013371080160140991,0.5666749477386475,
20,0.6944444179534912,0.39269909262657166,0.6944444444_0.3926990817,0.015626490116119385,0.568660318851471,
21,0.6944444179534912,0.7853981852531433,0.6944444444_0.7853981634,0.011501486413180828,0.4687146246433258,
22,0.6944444179534912,0.0,0.6944444444_0,0.016364602372050285,0.5316091179847717,
23,0.6944444179534912,1.1780972480773926,0.6944444444_1.1780972451,0.017349503934383392,0.5844284892082214,
24,0.6944444179534912,1.5707963705062866,0.6944444444_1.5707963268,0.019413350149989128,0.5774633884429932,
25,0.855555534362793,0.39269909262657166,0.8555555556_0.3926990817,0.017349060624837875,0.522213876247406,
26,0.855555534362793,0.7853981852531433,0.8555555556_0.7853981634,0.014757271856069565,0.4738926291465759,q_mid_theta_mid
27,0.855555534362793,0.0,0.8555555556_0,0.01938329078257084,0.5251448750495911,q_mid_theta_min
28,0.855555534362793,1.1780972480773926,0.8555555556_1.1780972451,0.02173163741827011,0.5696313381195068,
29,0.855555534362793,1.5707963705062866,0.8555555556_1.5707963268,0.0252696443349123,0.5887742638587952,q_mid_theta_max
30,1.0166666507720947,0.39269909262657166,1.0166666667_0.3926990817,0.020290246233344078,0.5452820658683777,
31,1.0166666507720947,0.7853981852531433,1.0166666667_0.7853981634,0.01677963323891163,0.46282050013542175,
32,1.0166666507720947,0.0,1.0166666667_0,0.02267119102180004,0.5514830946922302,
33,1.0166666507720947,1.1780972480773926,1.0166666667_1.1780972451,0.025581393390893936,0.5712578892707825,
34,1.0166666507720947,1.5707963705062866,1.0166666667_1.5707963268,0.029742466285824776,0.593741774559021,
35,1.1777777671813965,0.39269909262657166,1.1777777778_0.3926990817,0.02116217650473118,0.5428494215011597,
36,1.1777777671813965,0.7853981852531433,1.1777777778_0.7853981634,0.01759292185306549,0.4568229019641876,
37,1.1777777671813965,0.0,1.1777777778_0,0.024186450988054276,0.5612934231758118,
38,1.1777777671813965,1.1780972480773926,1.1777777778_1.1780972451,0.02683340013027191,0.5621804594993591,
39,1.1777777671813965,1.5707963705062866,1.1777777778_1.5707963268,0.03184982016682625,0.5978504419326782,worst_rmse
40,1.3388888835906982,0.39269909262657166,1.3388888889_0.3926990817,0.020257651805877686,0.5301613211631775,
41,1.3388888835906982,0.7853981852531433,1.3388888889_0.7853981634,0.016721194609999657,0.4498145878314972,median_rmse
42,1.3388888835906982,0.0,1.3388888889_0,0.023943770676851273,0.5631895661354065,
43,1.3388888835906982,1.1780972480773926,1.3388888889_1.1780972451,0.02569078467786312,0.5576680898666382,
44,1.3388888835906982,1.5707963705062866,1.3388888889_1.5707963268,0.030857369303703308,0.5988258123397827,
45,1.5,0.39269909262657166,1.5_0.3926990817,0.018012087792158127,0.5140838027000427,
46,1.5,0.7853981852531433,1.5_0.7853981634,0.014284887351095676,0.435630738735199,q_max_theta_mid
47,1.5,0.0,1.5_0,0.022417083382606506,0.5707030892372131,q_max_theta_min
48,1.5,1.1780972480773926,1.5_1.1780972451,0.022450421005487442,0.5549263954162598,
49,1.5,1.5707963705062866,1.5_1.5707963268,0.026411328464746475,0.5800884962081909,q_max_theta_max
