# Re(EQRPA)	Im(Strength)
0.000000e+00	4.265093e-04
1.500000e-01	7.231855e-04
3.000000e-01	1.059547e-03
4.500000e-01	1.439455e-03
6.000000e-01	1.867165e-03
7.500000e-01	2.367834e-03
9.000000e-01	2.912986e-03
1.050000e+00	3.527250e-03
1.200000e+00	4.220229e-03
1.350000e+00	5.003662e-03
1.500000e+00	5.894953e-03
1.650000e+00	6.907988e-03
1.800000e+00	8.067068e-03
1.950000e+00	9.400825e-03
2.100000e+00	1.094590e-02
2.250000e+00	1.274975e-02
2.400000e+00	1.487465e-02
2.550000e+00	1.740356e-02
2.700000e+00	2.045312e-02
2.850000e+00	2.417774e-02
3.000000e+00	2.879016e-02
3.150000e+00	3.461030e-02
3.300000e+00	4.210835e-02
3.450000e+00	5.201937e-02
3.600000e+00	6.548214e-02
3.750000e+00	8.442888e-02
3.900000e+00	1.122484e-01
4.050000e+00	1.552863e-01
4.200000e+00	2.263873e-01
4.350000e+00	3.535193e-01
4.500000e+00	6.005908e-01
4.650000e+00	1.085496e+00
4.800000e+00	1.681691e+00
4.950000e+00	1.461366e+00
5.100000e+00	8.405564e-01
5.250000e+00	4.740272e-01
5.400000e+00	2.906747e-01
5.550000e+00	1.933055e-01
5.700000e+00	1.371691e-01
5.850000e+00	1.024947e-01
6.000000e+00	7.998513e-02
6.150000e+00	6.501238e-02
6.300000e+00	5.533673e-02
6.450000e+00	5.029300e-02
6.600000e+00	5.027514e-02
6.750000e+00	5.106193e-02
6.900000e+00	4.241405e-02
7.050000e+00	3.281907e-02
7.200000e+00	2.686249e-02
7.350000e+00	2.314960e-02
7.500000e+00	2.066442e-02
7.650000e+00	1.890347e-02
7.800000e+00	1.762130e-02
7.950000e+00	1.671543e-02
8.100000e+00	1.610716e-02
8.250000e+00	1.577890e-02
8.400000e+00	1.571115e-02
8.550000e+00	1.596829e-02
8.700000e+00	1.660686e-02
8.850000e+00	1.778468e-02
9.000000e+00	1.979670e-02
9.150000e+00	2.328291e-02
9.300000e+00	2.965326e-02
9.450000e+00	4.204763e-02
9.600000e+00	6.450619e-02
9.750000e+00	8.087594e-02
9.900000e+00	6.426667e-02
1.005000e+01	4.699851e-02
1.020000e+01	4.054717e-02
1.035000e+01	4.156774e-02
1.050000e+01	4.921505e-02
1.065000e+01	6.653746e-02
1.080000e+01	1.019601e-01
1.095000e+01	1.591498e-01
1.110000e+01	1.781241e-01
