#vpair_t0, override_cs0, override_ct, override_cf
-0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-2.500000000000000000e+02 1.250000000000000000e+02 -1.250000000000000000e+02 -1.250000000000000000e+02
-3.750000000000000000e+02 6.250000000000000000e+01 -6.250000000000000000e+01 -6.250000000000000000e+01
-1.250000000000000000e+02 1.875000000000000000e+02 -1.875000000000000000e+02 -1.875000000000000000e+02
-1.875000000000000000e+02 9.375000000000000000e+01 -1.562500000000000000e+02 -2.187500000000000000e+02
-4.375000000000000000e+02 2.187500000000000000e+02 -3.125000000000000000e+01 -9.375000000000000000e+01
-3.125000000000000000e+02 3.125000000000000000e+01 -2.187500000000000000e+02 -1.562500000000000000e+02
-6.250000000000000000e+01 1.562500000000000000e+02 -9.375000000000000000e+01 -3.125000000000000000e+01
-9.375000000000000000e+01 7.812500000000000000e+01 -2.343750000000000000e+02 -1.093750000000000000e+02
-3.437500000000000000e+02 2.031250000000000000e+02 -1.093750000000000000e+02 -2.343750000000000000e+02
-4.687500000000000000e+02 1.562500000000000000e+01 -1.718750000000000000e+02 -4.687500000000000000e+01
-2.187500000000000000e+02 1.406250000000000000e+02 -4.687500000000000000e+01 -1.718750000000000000e+02
-1.562500000000000000e+02 4.687500000000000000e+01 -7.812500000000000000e+01 -1.406250000000000000e+02
-4.062500000000000000e+02 1.718750000000000000e+02 -2.031250000000000000e+02 -1.562500000000000000e+01
-2.812500000000000000e+02 1.093750000000000000e+02 -1.562500000000000000e+01 -2.031250000000000000e+02
-3.125000000000000000e+01 2.343750000000000000e+02 -1.406250000000000000e+02 -7.812500000000000000e+01
-4.687500000000000000e+01 1.171875000000000000e+02 -1.171875000000000000e+02 -1.640625000000000000e+02
-2.968750000000000000e+02 2.421875000000000000e+02 -2.421875000000000000e+02 -3.906250000000000000e+01
-4.218750000000000000e+02 5.468750000000000000e+01 -5.468750000000000000e+01 -2.265625000000000000e+02
-1.718750000000000000e+02 1.796875000000000000e+02 -1.796875000000000000e+02 -1.015625000000000000e+02
-2.343750000000000000e+02 2.343750000000000000e+01 -2.109375000000000000e+02 -7.031250000000000000e+01
-4.843750000000000000e+02 1.484375000000000000e+02 -8.593750000000000000e+01 -1.953125000000000000e+02
-3.593750000000000000e+02 8.593750000000000000e+01 -1.484375000000000000e+02 -7.812500000000000000e+00
-1.093750000000000000e+02 2.109375000000000000e+02 -2.343750000000000000e+01 -1.328125000000000000e+02
-7.812500000000000000e+01 3.906250000000000000e+01 -1.328125000000000000e+02 -2.109375000000000000e+02
-3.281250000000000000e+02 1.640625000000000000e+02 -7.812500000000000000e+00 -8.593750000000000000e+01
-4.531250000000000000e+02 1.015625000000000000e+02 -1.953125000000000000e+02 -1.484375000000000000e+02
-2.031250000000000000e+02 2.265625000000000000e+02 -7.031250000000000000e+01 -2.343750000000000000e+01
-1.406250000000000000e+02 7.031250000000000000e+01 -3.906250000000000000e+01 -5.468750000000000000e+01
-3.906250000000000000e+02 1.953125000000000000e+02 -1.640625000000000000e+02 -1.796875000000000000e+02
-2.656250000000000000e+02 7.812500000000000000e+00 -1.015625000000000000e+02 -1.171875000000000000e+02
-1.562500000000000000e+01 1.328125000000000000e+02 -2.265625000000000000e+02 -2.421875000000000000e+02
-2.343750000000000000e+01 6.640625000000000000e+01 -1.757812500000000000e+02 -1.367187500000000000e+02
